"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"CONFIGURATION_POLE-THROW";"CONTACT_CURRENT_RATING";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"TE_PURCHASE_URL";
"S3";"2-1437565-7";"2-1437565-7";"SW_2-1437565-7";"FSM2JSMA=SMT,TACTILE,PB SWITCH";"Unavailable";"2-1437565-7";"Single Pole - Single Throw";"50 mA";" Alcoswitch";" Switch";" Tactile";" Mico-Miniature";" Pushbutton";" SPST";" Surface Mount ";"";"";"";"";"";"TE Connectivity";"";"";"2-1437565-7";"";"";"";"None";
"S4";"2-1437565-7";"2-1437565-7";"SW_2-1437565-7";"FSM2JSMA=SMT,TACTILE,PB SWITCH";"Unavailable";"2-1437565-7";"Single Pole - Single Throw";"50 mA";" Alcoswitch";" Switch";" Tactile";" Mico-Miniature";" Pushbutton";" SPST";" Surface Mount ";"";"";"";"";"";"TE Connectivity";"";"";"2-1437565-7";"";"";"";"None";
"U$1";"MBR120MBR120";"MBR120MBR120";"SODFL3616X98N";"https://www.snapeda.com/parts/MBR120VLSFT3G/ON%20Semiconductor/datasheet/";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"PMEG4005EJFPMEG4005EJF";"PMEG4005EJFPMEG4005EJF";"SOD2512X80N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"PMEG4005EJFPMEG4005EJF";"PMEG4005EJFPMEG4005EJF";"SOD2512X80N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"CDRH103R-6R8";"CDRH103R-6R8";"CDRH103R-6R8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"MPRLS0015PG0000SAMPRLS0015PG0000SA";"MPRLS0015PG0000SAMPRLS0015PG0000SA";"QFN127P500X500X582-12N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"MCP73871-2CCI/ML";"MCP73871-2CCI/ML";"QFN50P400X400X100-21N";"IC, BATTERY CHARGER, 1A";"Unavailable";"";"";"";" Fully Integrated Single Cell Lithium Ion/Lithium Polymer Charge Management Contr ";"";"";"";"";"";"Microchip";"";"";"MCP73871-2CCI/ML";"";"";"";"QFN-20 Microchip";"";"None";"";"";"";"";
"U2";"TPS61090RSAR";"TPS61090RSAR";"QFN65P400X400X100-17N";"None";"Unavailable";"";"";"";" 2A Switch, 96% Efficient Boost Converter 16-QFN -40 to 85 ";"";"";"";"";"";"Texas Instruments";"";"";"TPS61090RSAR";"";"";"";"VQFN-16 Texas Instruments";"";"None";"";"";"";"";
"U3";"AP2112K-3.3TRG1";"AP2112K-3.3TRG1";"SOT95P285X140-5N";"AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5";"Unavailable";"";"";"";" AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5 ";"";"";"";"";"";"Diodes Inc.";"";"";"AP2112K-3.3TRG1";"";"";"";"SOT-753 Diodes Inc.";"";"None";"";"";"";"";
"U4";"DMG3415U-7";"DMG3415U-7";"SOT95P240X105-3N";"P-CHANNEL ENHANCEMENT MODE MOSFET";"Unavailable";"";"";"";" DMG3415U Series 20 V 39 mOhm P-Channel Enhancement Mode Mosfet - SOT-23-3 ";"";"";"";"";"";"Diodes Inc.";"";"";"DMG3415U-7";"";"";"";"SOT-23-3 Diodes Inc.";"";"None";"";"";"";"";
"U5";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"MODULE_ESP32-WROOM-32D";"IC: SoC; GPIO, I2C, I2S, IR, SD, SDIO, SPI, UART; 2.7÷3.6VDC; 20dBm";"Unavailable";"";"";"";" IC: SoC";" GPIO, I2C, I2S, IR, SD, SDIO, SPI, UART";" 2.7÷3.6VDC";" 20dBm ";"";"";"";"";"";"Espressif Systems";"";"";"ESP32-WROOM-32D";"";"";"";"Module Espressif Systems";"";"None";"";
"U7";"CP2102N-A01-GQFN28";"CP2102N-A01-GQFN28";"QFN50P500X500X80-29N";"Ic Bridge Usb To Uart 28qfn";"Unavailable";"";"";"";" USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN _5x5_ ";"";"";"";"";"";"Silicon Labs";"";"";"CP2102N-A01-GQFN28";"";"";"";"QFN-28 Silicon Labs";"";"None";"";"";"";"";
"X2";"53048-02";"53048-02";"53048-02";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"53048-0210";"1012259";"57H4718";"";"0";"";"";"";"";"";
"X3";"53048-02";"53048-02";"53048-02";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"53048-0210";"1012259";"57H4718";"";"0";"";"";"";"";"";
"X4";"53048-02";"53048-02";"53048-02";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"53048-0210";"1012259";"57H4718";"";"0";"";"";"";"";"";
